title,link,published_date,author,summary,categories,guid
"Micron Technology, Inc. Reports Results for the Third Quarter of Fiscal 2025",https://www.globenewswire.com/news-release/2025/06/25/3105428/14450/en/Micron-Technology-Inc-Reports-Results-for-the-Third-Quarter-of-Fiscal-2025.html,2025-06-25 20:01:00,,Record revenue in fiscal Q3 with growth across end marketsFiscal Q4 revenue projected to grow another 15% sequentially,"Nasdaq:MU, US5951121038, Earnings Releases and Operating Results",https://www.globenewswire.com/news-release/2025/06/25/3105428/14450/en/Micron-Technology-Inc-Reports-Results-for-the-Third-Quarter-of-Fiscal-2025.html
POET Wins AI Hardware Innovation Award in 2025 AI Breakthrough Awards,https://www.globenewswire.com/news-release/2025/06/25/3105226/0/en/POET-Wins-AI-Hardware-Innovation-Award-in-2025-AI-Breakthrough-Awards.html,2025-06-25 14:01:00,,Prestigious international annual awards program honors the POET Teralight line of high-performance optical engines Prestigious international annual awards program honors the POET Teralight line of high-performance optical engines,"TSX-V:PTK, Nasdaq:POET, CA73044W1041, Contests/Awards",https://www.globenewswire.com/news-release/2025/06/25/3105226/0/en/POET-Wins-AI-Hardware-Innovation-Award-in-2025-AI-Breakthrough-Awards.html
POET Signs Manufacturing Agreement with NationGate Solutions in Malaysia,https://www.globenewswire.com/news-release/2025/06/24/3104124/0/en/POET-Signs-Manufacturing-Agreement-with-NationGate-Solutions-in-Malaysia.html,2025-06-24 11:27:00,,Ships Backlog of 800G Optical Engine Samples to Customers Ships Backlog of 800G Optical Engine Samples to Customers,"TSX-V:PTK, Nasdaq:POET, CA73044W1041, Product / Services Announcement, Partnerships",https://www.globenewswire.com/news-release/2025/06/24/3104124/0/en/POET-Signs-Manufacturing-Agreement-with-NationGate-Solutions-in-Malaysia.html
Melexis: update on the share buy-back program,https://www.globenewswire.com/news-release/2025/06/23/3103643/0/en/Melexis-update-on-the-share-buy-back-program.html,2025-06-23 15:45:00,,Press release - Regulated Information,"Brussels:MELE, BE0165385973, 3754, Changes in company's own shares, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/06/23/3103643/0/en/Melexis-update-on-the-share-buy-back-program.html
Melexis: update over het aandeleninkoopprogramma,https://www.globenewswire.com/news-release/2025/06/23/3103643/0/nl/Melexis-update-over-het-aandeleninkoopprogramma.html,2025-06-23 15:45:00,,Persbericht - Gereglementeerde informatie,"Brussels:MELE, BE0165385973, 3754, Changes in company's own shares, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/06/23/3103643/0/nl/Melexis-update-over-het-aandeleninkoopprogramma.html
"ASM share buyback update June 16 – 20, 2025",https://www.globenewswire.com/news-release/2025/06/23/3103646/0/en/ASM-share-buyback-update-June-16-20-2025.html,2025-06-23 15:45:00,,"Almere, The NetherlandsJune 23, 2025, 5:45 p.m. CET","Amsterdam:ASM, OTC Markets:ASMIY, NL0000334118, USN070451026, 8815, Other News, European Regulatory News",https://www.globenewswire.com/news-release/2025/06/23/3103646/0/en/ASM-share-buyback-update-June-16-20-2025.html
STMicroelectronics Announces Status of Common Share Repurchase Program,https://www.globenewswire.com/news-release/2025/06/23/3103304/0/en/STMicroelectronics-Announces-Status-of-Common-Share-Repurchase-Program.html,2025-06-23 12:00:00,,STMicroelectronics Announces Status ofCommon Share Repurchase Program,"Paris:STMPA, NYSE:STM, NL0000226223, US8610121027, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/06/23/3103304/0/en/STMicroelectronics-Announces-Status-of-Common-Share-Repurchase-Program.html
ASML reports transactions under its current share buyback program,https://www.globenewswire.com/news-release/2025/06/23/3103319/0/en/ASML-reports-transactions-under-its-current-share-buyback-program.html,2025-06-23 12:00:00,,ASML reports transactions under its current share buyback program,"Amsterdam:ASML, Nasdaq:ASML, NL0010273215, USN070592100, Other News",https://www.globenewswire.com/news-release/2025/06/23/3103319/0/en/ASML-reports-transactions-under-its-current-share-buyback-program.html
ダイヤモンド・テクノロジーズ (Diamond Technologies Inc.)、半導体および光学部品用のダイヤモンド膜の画期的な特許を含むアカン・セミコンダクター (Akhan Semiconductor) の全資産ポートフォリオを買収,https://www.globenewswire.com/news-release/2025/06/21/3102986/0/ja/%E3%83%80%E3%82%A4%E3%83%A4%E3%83%A2%E3%83%B3%E3%83%89-%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC%E3%82%BA-Diamond-Technologies-Inc-%E5%8D%8A%E5%B0%8E%E4%BD%93%E3%81%8A%E3%82%88%E3%81%B3%E5%85%89%E5%AD%A6%E9%83%A8%E5%93%81%E7%94%A8%E3%81%AE%E3%83%80%E3%82%A4%E3%83%A4%E3%83%A2%E3%83%B3%E3%83%89%E8%86%9C%E3%81%AE%E7%94%BB%E6%9C%9F%E7%9A%84%E3%81%AA%E7%89%B9%E8%A8%B1%E3%82%92%E5%90%AB%E3%82%80%E3%82%A2%E3%82%AB%E3%83%B3-%E3%82%BB%E3%83%9F%E3%82%B3%E3%83%B3%E3%83%80%E3%82%AF%E3%82%BF%E3%83%BC-Akhan-Semiconductor-%E3%81%AE%E5%85%A8%E8%B3%87%E7%94%A3%E3%83%9D%E3%83%BC%E3%83%88%E3%83%95%E3%82%A9%E3%83%AA%E3%82%AA%E3%82%92%E8%B2%B7%E5%8F%8E.html,2025-06-21 02:07:00,,"リゾナ州スコッツデール発、, June  21, 2025  (GLOBE NEWSWIRE) -- ダイヤモンド・テクノロジーズ (以下「DTI」) は本日、高度な電子機器用のダイヤモンドベース材料の主要なイノベーターであるアカン・セミコンダクター (Akhan Semiconductor, Inc.) の資産ポートフォリオ一式の買収に成功したと発表した。 この買収には、過去10年間にアカンが開発したすべての特許、企業秘密、知的財産、専有機械、エンジニアドマテリアルが含まれる。","Business Contracts, Patents, Product / Services Announcement",https://www.globenewswire.com/news-release/2025/06/21/3102986/0/ja/%E3%83%80%E3%82%A4%E3%83%A4%E3%83%A2%E3%83%B3%E3%83%89-%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC%E3%82%BA-Diamond-Technologies-Inc-%E5%8D%8A%E5%B0%8E%E4%BD%93%E3%81%8A%E3%82%88%E3%81%B3%E5%85%89%E5%AD%A6%E9%83%A8%E5%93%81%E7%94%A8%E3%81%AE%E3%83%80%E3%82%A4%E3%83%A4%E3%83%A2%E3%83%B3%E3%83%89%E8%86%9C%E3%81%AE%E7%94%BB%E6%9C%9F%E7%9A%84%E3%81%AA%E7%89%B9%E8%A8%B1%E3%82%92%E5%90%AB%E3%82%80%E3%82%A2%E3%82%AB%E3%83%B3-%E3%82%BB%E3%83%9F%E3%82%B3%E3%83%B3%E3%83%80%E3%82%AF%E3%82%BF%E3%83%BC-Akhan-Semiconductor-%E3%81%AE%E5%85%A8%E8%B3%87%E7%94%A3%E3%83%9D%E3%83%BC%E3%83%88%E3%83%95%E3%82%A9%E3%83%AA%E3%82%AA%E3%82%92%E8%B2%B7%E5%8F%8E.html
RIBER: Descriptif du programme du programme de rachat d’actions,https://www.globenewswire.com/news-release/2025/06/20/3102878/0/fr/RIBER-Descriptif-du-programme-du-programme-de-rachat-d-actions.html,2025-06-20 17:00:00,,Mise en œuvre du programme de rachat d’actions,"Paris:RIB, FR0000075954, Other News, European Regulatory News",https://www.globenewswire.com/news-release/2025/06/20/3102878/0/fr/RIBER-Descriptif-du-programme-du-programme-de-rachat-d-actions.html
