"company","title"
VOW GREEN METALS AS,OSLO BØRS – TRADING SUSPENSION
Realkredit Danmark A/S,"Prepayments, Realkredit Danmark A/S"
Evolution AB,Acquisitions of own shares in Evolution AB (publ)
Strategic Partners A/S,Aktietilbagekøb 23-27 juni 2025
Inderes Oyj,"Redefining the Role of Commissioned Research, Inderes' study on Swedish retail investors"
Evli Oyj,"INVITATION: Evli Plc to publish Half-year Financial Report on July 14, 2025"
Devyser Diagnostics AB,"Devyser launches Genomic Blood Typing assay: All blood groups, one simple test"
Per Aarsleff Holding A/S,Transactions under the current share buyback programme
Essity AB,"Buyback of Class B shares in Essity during week 26, 2025"
Avanza Bank AB,Jonas Svärling appointed new CFO and member of Group Management at Avanza
Genova Property Group AB,Increased number of shares and votes in Genova Property Group AB (publ)
Vicore Pharma Holding AB,Increase in number of shares and votes in Vicore Pharma
Kalmar Oyj B,Kalmar and AGL collaborate on STS crane repair and refurbishment project in Abidjan
Norion Bank AB,Conference call in connection with Norion Bank's interim report January-June 2025
ProAct IT Group AB,Invitation to the presentation of Proact's Q2 2025 interim report
SaltX Technology Holding AB,"SaltX enters strategic partnership with Holcim to develop fully electrified cement technology, secures investment of SEK 48.9m and resolves on a set-off issue of SEK 21.5m"
Ringkjøbing Landbobank A/S,Share buyback programme - week 26
"",Aktietilbagekøb i SJF Bank A/S – transaktioner i uge 26
"",Investeringsforeningen BankInvest – prospektopdatering
"",Share buyback programme – week 26
"",Aktietilbagekøbsprogram - uge 26
ISS A/S,Transactions in connection with share buyback programme
Jyske Bank A/S,Share repurchase programme: Transactions of week 26 2025
Jyske Bank A/S,Aktietilbagekøb: Transaktioner i uge 26 2025
Columbus A/S,Columbus – launch of share buyback programme under the “Safe Harbour” Regulation
Nordecon,Construction contract (Defence-related facilities)
Nordecon,Ehituslepingu sõlmimine (Riigikaitselised hooned)
Nokia Corporation,Nokia signs revolving credit facility with its pricing mechanism linked to the company's sustainability targets
PST Group,On the Resolutions Adopted at the Extraordinary General Meeting of Shareholders
SpareBank 1 Lom og SkjÃ¥k,SpareBank 1 Lom og Skjåk er tildelt BBB+ kredittvurdering fra Nordic Credit Rating
Ãrland kommune,Årsberetning og årsregnskap Ørland kommune 2024
GjÃ¸vik Kommune,Årsregnskap 2024
PHILLY SHIPYARD,Financial calendar
DANSKE BANK A/S,Danske Bank share buy-back programme: transactions in week 26
VOW GREEN METALS AS,Received application for delisting - Correction*
VOW GREEN METALS AS,Mottatt søknad om strykning - Korreksjon *
TECHSTEP,Techstep ASA: Contract signed with the Municipality of Oslo
Mutares SE & CO KGaA,Mutares lists Terranor Group AB (publ) on Nasdaq First North Growth Market in Stockholm
A.P. Møller - Mærsk A/S,Transactions in connection with share buy-back program
STREAMWIDE,STREAMWIDE _ COMPTE RENDU AGOAE 19.06.2025
Wall to Wall Group AB,Extraordinary General Meeting of Wall to Wall
Digitalist Group Plc,Digitalist Group Oyj - Managers' Transactions
Karolinska Development AB,Karolinska Development divests shares in portfolio company OssDsign
Eltel AB,Eltel signs frame agreement for connection and metering services with E.ON
Eezy Oyj,Eezy Plc: changes in management team
Koskisen Oyj,Koskisen Corporation - Managers' transactions
Swedish Logistic Property AB,SLP takes ownership of two newly built and fully leased logistics properties in Jönköping with an agreed property value of SEK 266 million
Sydbank A/S,Sydbank A/S share buyback programme: transactions in week 26
Investeringsforeningen Nykredit Invest Balance,Investeringsforeningen Nykredit Invest Balance suspenderer handel med udvalgte afdelinger
Djurslands Bank A/S,Aktietilbagekøb i Djurslands Bank - transaktioner i uge 26
Sydbank A/S,Sydbank A/S share buyback programme: transactions in week 26
Sydbank A/S,Aktietilbagekøb i Sydbank A/S – transaktioner i uge 26
Karolinska Development AB ser.B,Karolinska Development divests shares in portfolio company OssDsign
Sparindex INDEX Høj Risiko KL,Værdipapirfonden Sparinvest suspenderer midlertidig handel med udvalgte afdelinger
Sparinv Danske Aktier KL A,Investeringsforeningen Sparinvest suspenderer handel af udvalgte afdelinger
"""Nykredit Invest Balance Modera",Investeringsforeningen Nykredit Invest Balance suspenderer handel med udvalgte afdelinger
"",Ekstraordinære indfrielser (CK 93)
"",Investeringsforeningen Nykredit Invest suspender handel med udvalgte afdelinger
"",Investeringsforeningen Multi Manager Invest suspenderer handel med alle afdelinger
"",Finanskalender 2025 – BI Erhvervsejendomme A/S
"",Ombytningsforhold i forbindelse med fusion af afdeling Kreditobligationer under Investeringsforeningen Kerne Invest og afdeling Virksomhedsobligationer IG KL under Investeringsforeningen BankInvest
Alm. Brand A/S,Alm. Brand A/S – Weekly report on share buybacks
Alm. Brand A/S,Alm. Brand A/S - Ugentlig rapportering om aktietilbagekøb
Danske Bank A/S,Danske Bank share buy-back programme: transactions in week 26
Danske Bank A/S,Aktietilbagekøb i Danske Bank: Transaktioner i uge 26
"",Ombytningsforhold i forbindelse med fusion af afdeling Bæredygtige Klimaaktier KL under Investeringsforeningen BankInvest og afdeling Optima Bæredygtig Omtanke 75 KL under Værdipapirfonden BankInvest
"",Ombytningsforhold i forbindelse med fusion af afdeling Bæredygtige Klimaaktier KL under Investeringsforeningen BankInvest og afdeling Optima Bæredygtig Omtanke 75 KL under Værdipapirfonden BankInvest
Digitalist Group Plc,Digitalist Group Oyj - Managers' Transactions
Digitalist Group Plc,Digitalist Group Oyj - Johdon liiketoimet
Karolinska Development AB ser.B,Karolinska Development avyttrar aktier i portföljbolaget OssDsign
"",Composition of Huhtamaki’s Shareholders’ Nomination Board
"",Huhtamäen osakkeenomistajien nimitystoimikunnan kokoonpano
PST Group,On the Resolutions Adopted at the Extraordinary General Meeting of Shareholders
PST Group,Dėl neeilinio visuotinio akcininkų susirinkimo priimtų sprendimų
Nasdaq Vilnius,The results of the primary placement auction of Lithuanian Government Eurobonds
Eco Baltia,Oil Recovery wins public tender for 3-year ship-generated waste management contract at the Freeport of Riga
Eco Baltia,"Eco Baltia Group continues steady growth in Q1 2025, reaching €70.1 million in revenue"
Eco Baltia,Eco Baltia Group achieves record-high turnover and significant profitability improvement in 2024
Sandefjord komm 24/26 FRN,Sandefjord municipality annual report and accounts 2024
Sandefjord komm 24/26 FRN,Sandefjord kommune årsregnskap og årsberetning 2024
Sandefjord komm 24/26 FRN,Sandefjord municipality annual report an accounts 2024
Sandefjord komm 24/26 FRN,Sandefjord kommune årsregnskap og årsberetning
HAVAS,Havas Reports the Progress of Transactions Under Its Current Share Buyback Program
JENSEN-GROUP,Share buyback – weekly update
FLEURY MICHON,FLEURY MICHON : Déclaration des opérations de rachat d'actions du 23 au 27 juin 2025
POLIGHT,Major Shareholder Disclosure
POLIGHT,Flaggemelding
ASTICKSO XXI SOCIMI,MINUTES OF THE SOLE SHAREHOLDER OF THE COMPANY: APPROVAL OF THE ANNUAL ACCOUNTS 2024.
Ponsse Oyj,Ponsse Plc: Managers' transactions - Tommi Väänänen
Ponsse Oyj,Ponsse Plc: Managers' transactions - Juho Nummela
Ponsse Oyj,Ponsse Plc: Managers' transactions - Miika Soininen
Ponsse Oyj,Ponsse Plc: Managers' transactions - Juha Inberg
Tecnotree Oyj,Change in Tecnotree Corporation's holding of treasury shares
Ponsse Oyj,Ponsse Plc: Managers' transactions - Marko Mattila
Ponsse Oyj,Ponsse Plc: Managers' transactions - Tiina Kautonen
Ponsse Oyj,Ponsse Plc: Managers' transactions - Katja Paananen
Loihde Oyj,Loihde Plc conducts a directed share issue to deliver the savings shares that are part of its Employee Share Savings Plan (ESSP)
Talenom Oyj,Talenom Plc will publish its Half-year Financial Report 2025 on Friday 18 July 2025
Dataproces Group A/S,Municipality on Zealand have bought Dataproces' Data-analysis
"","Fejlberegning iht. §75, stk. 1 i lov om investeringsforeninger m.v."
Sparindex INDEX Høj Risiko KL,Værdipapirfonden Sparinvest - ophævelse suspension
Sparinv Danske Aktier KL A,Investeringsforeningen Sparinvest - ophævelse suspension
"""Nordea Invest Aktier KL 1""",Ombytningsforhold ved fusion
"""Nykredit Invest Balance Modera",Investeringsforeningen Nykredit Invest Balance - ophævelse af suspension
Mycronic AB,Invitation to the presentation of Mycronic's Q2 2025
"",Investeringsforeningen Multi Manager Invest - ophævelse af suspension
"""Nordea Invest Aktier KL 1""",Ophævelse af suspension
FLSmidth & Co. A/S,FLSmidth sells its Air Pollution Control business to Rubicon Partners
"",Investeringsforeningen Nykredit Invest - ophævelse af suspension
Eyenovia,Eyenovia Adds $10 Million in HYPE to its Treasury Holdings in Preparation for Strategic Onchain Engagement
,Nova Klúbburinn hf.: Framkvæmd endurkaupaáætlunar í viku 26
Síminn hf.,Síminn hf. - Reglubundin tilkynning um kaup á eigin bréfum í samræmi við endurkaupaáætlun
Hagar hf.,Hagar hf.: Niðurstöður í endurkaupum á eigin bréfum með öfugu tilboðsfyrirkomulagi
J.Molner,Additional increase of The J. Molner Company OÜ voluntary reserve
Pandora A/S,Transactions in connection with share buyback programme
Eco Baltia,CORRECTION: Eco Baltia Group achieves record-high turnover and significant profitability improvement in 2024
SIGNIFY NV,Signify share repurchase period update
INMOSUPA,MINUTES OF THE ORDINARY AND UNIVERSAL GENERAL MEETING OF THE COMPANY: APPROVAL ANNUAL ACCOUNTS 2024
CRCAM BRIE PIC2CCI,CRCAM Brie Picardie – déclaration hebdomadaire – Rachats réalisés dans les conditions de l'article 5 du Règlement MAR
PHONE WEB,PHONE WEB - RESULTATS ANNUELS 2024
POLIGHT,poLight ASA: Mandatory notification of trade
ORBIS PROPERTIES,Sole Shareholder Resolutions - June 2025
AGP MALAGA SOCIMI,Dividend Distribution
HEINEKEN HOLDING,Heineken Holding N.V. reports transactions under its current share buyback programme
Public Property Invest ASA,Public Property Invest ASA: Transactions carried out under the share buy-back program
CA TOULOUSE 31 CCI,Déclaration hebdomadaire des transactions sur CCI 2025 06 23 - 2025 06 27
HEINEKEN,Heineken N.V. reports the progress of transactions under its current share buyback programme
KINGDOM OF NORWAY,Reopening of government bond NGB 09/2029 and NGB 06/2035
Dustin Group AB,Change in number of shares and votes in Dustin
Royal UNIBREW A/S,Share buy-back program
NCC AB,NCC to construct sand recycling plant for Boliden in Skellefteå
"Volvo, AB",New number of votes in AB Volvo
"GENESIS R.E.I.T., SOCIMI S.A.",MINUTES OF THE ORDIARY AND UNIVERSAL GENERAL MEETING OF THE COMPANY: APPROVAL OF ANNUAL ACCOUNTS 2024
Besqab AB(publ),"Besqab Commences Construction of the First 122 Tenant Ownerships Apartments in Slakthusområdet, Stockholm"
Indutrade AB,Invitation to webcast in conjunction with Indutrade's Interim Report January - June 2025
Faron Pharmaceuticals Oy,Faron Pharmaceuticals Ltd: Director/PCA Dealing
DonkeyRepublic Holding A/S,Morten Nybye-Petersen resigns as Chief Operating Officer of Donkey Republic
Matas A/S,Matas share buy-back programme: reporting of transactions in week 26
SRV Yhtiöt Oyj,"SRV Group Plc: Flagging notification in accordance with Chapter 9, Section 10 of the Securities Markets Act"
Cavotec SA,Cavotec Group AB successfully completes the share exchange offer to the shareholders of Cavotec SA and extends the acceptance period - to be listed on Nasdaq Stockholm on 9 July 2025
J.Molner,Additional increase of The J. Molner Company OÜ voluntary reserve
Lokotech Group AS,Mandatory Notification of Trade by Primary Insider
"",Transactions in connection with share buyback programme
Royal UNIBREW A/S,Share buy-back program
Modera,Resolutions of the shareholders of Aktsiaselts Modera - adoption of resolutions of the general meeting without calling a meeting
Sun Finance Treasury Limited,Sun Finance Group reports audited results for 2024
Olav Thon Eiendomsselskap ASA,Vellykket utstedelse av obligasjonslån
Olav Thon Eiendomsselskap ASA,Successful bond issuance
AREF THALASSA SOCIMI S.A.U.,Minutes of the Sole Shareholder - June 2025
JDE PEET'S,"JDE Peet’s share buyback periodic update June 30, 2025"
PEXIP HOLDING,Status share buyback program
GOLDEN OCEAN GROUP,NOTIFICATION OF MAJOR HOLDINGS
Sparebanken Norge,Ny rente
Longship Group B.V 24/27 FRN EUR FLOOR C,Ny rente
-,First Phosphate annonce son intention de procéder à un placement privé de 2 000 000 $ auprès d'un investisseur stratégique
SpareBank 1 SMN,Rentefastsettelse
Odal Sparebank,Rentefastsettelse
TromsÃ¸ Kommune,Rentefastsettelse
LillestrÃ¸m kommune,Interest Adjustment
Eidsiva Energi AS,Rentefastsettelse
Nortura SA,Rentefastsettelse
ACCSYS TECHNOLOGIES PLC,Accsys Technologies PLC: Director/PDMR Shareholding
GRUPO WHITENI SOCIMI,Minutes of the universal annual shareholders meeting (ordinary and extraordinary)
AZERION GROUP N.V.,Azerion in Discussions Regarding Potential Sale of Whow Games
"Hennes & Mauritz AB, H & M","Buybacks of shares by H&M during week 26, 2025"
Autoliv Inc.,Autoliv Announces Departure of Chief Financial Officer
ES Energy Save Holding AB,Energy Save signs agreement with distributor for Spain and Portugal
Modera,Resolutions of the shareholders of Aktsiaselts Modera - adoption of resolutions of the general meeting without calling a meeting
Bergman & Beving AB,Bergman & Beving's Annual Report for 2024/2025 has been published
Sun Finance Treasury Limited,Sun Finance Group reports audited results for 2024
Ringkjøbing Landbobank A/S,Ringkjøbing Landbobank issues Tier 2 capital
Scibase Holding AB,SciBase announces outcome in directed share issue
AQ Group AB,"Invitation to presentation of AQ Group's Q2 interim report on July 15, 2025"
Imunon,"IMUNON Submits Plan in Consultation with the Exchange to Ensure Compliance with Nasdaq’s Listing Requirement, Anticipates Additional Compliance Period"
Medi-Adapt Innovations,Spectral AI Announces Submission to FDA of its DeepView® System
Cidara Therapeutics,Cidara Therapeutics Announces Inclusion in the Russell 2000® and Russell 3000® Indexes
INmune Bio,INmune Bio Reports Key Findings from Phase 2 MINDFuL Trial of XPro™ in Early Alzheimer’s Disease
CRISPR Therapeutics,CRISPR Therapeutics Named to TIME’s Most Influential Companies List of 2025
Corbus Pharmaceuticals,Corbus Pharmaceuticals Initiates Multiple Ascending Dose Portion of Phase 1 Study of Highly Peripherally Restricted CB1 Inverse Agonist CRB-913 for the Treatment of Obesity
"",Allarity Therapeutics Receives Australian Patent Acceptance Notice for Stenoparib DRP® Companion Diagnostic
"",Ringkjøbing Landbobank issues Tier 2 capital
"",Ringkjøbing Landbobank udsteder Tier 2-kapital
Brim hf.,Niðurstöður hluthafafundar Brim hf. 30. júní 2025
Nasdaq Riga,Observation status removed for Amber Beverage Group Holding S.à r.l.
"15min",Transaction Completed: Two New Investors Join “15min Group”
Latvenergo,"Latvenergo AS has signed short terms Loan Agreements totalling EUR 300 million with Swedbank AS, OP Corporate Bank plc Latvia Branch, and AB SEB Bank"
"15min",Užbaigtas sandoris: „15min grupėje“ - du nauji investuotojai
Arco Vara,Arco Vara launches construction of two new development projects
Admirals Group,Changes in the Management Board of Admirals Group AS
Hafslund AS,Euronext Oslo Børs – Hafslund AS - Mottatt søknad om notering av obligasjonslån
RES GESTAE SOCIMI S.A.,MINUTES OF THE ORDINARY UNIVERSAL GENERAL MEETING
Hafslund AS,Euronext Oslo Børs – Hafslund AS - Received application for listing of bonds
Klaveness Combination Carriers,Financial calendar
Olav Thon Eiendomsselskap ASA,Vellykket utstedelse av obligasjonslån
Olav Thon Eiendomsselskap ASA,Successful bond issuance
Alligator Bioscience AB,Change in number of shares and votes in Alligator Bioscience AB
Brage Finans AS,Jæren Sparebank inngår samarbeid og blir deleier av Brage Finans AS
JÃ¦ren Sparebank,Jæren Sparebank inngår samarbeid og blir deleier av Brage Finans AS
SEGRO PUBLIC LIMITED COMPANY,Total Voting Rights
AF GRUPPEN,Building production facility in Ølen
AF GRUPPEN,Bygger produksjonsanlegg i Ølen
MULTICONSULT,Multiconsult ASA - successful refinancing of credit facilities
TrÃ¸ndelag Fylkeskommune,Årsrapport 2024 Trøndelag fylkeskommune
TrÃ¸ndelag Fylkeskommune,Annual report 2024 Trøndelag fylkeskommune
SHELF DRILLING,Shelf Drilling Announces Five-Year Contract Extension for High Island V
TrÃ¸ndelag Fylkeskommune,Annual report 2024 Trøndelag fylkeskommune
TrÃ¸ndelag Fylkeskommune,Årsrapport 2024 Trøndelag fylkeskommune
VEIDEKKE,Veidekke: Bygger 142 boliger for Ferd i Asker
VEIDEKKE,Veidekke: Building homes for Ferd in Asker
JINHUI SHIPPING AND TRANSPORTATION,THE SALE AND LEASEBACK ARRANGEMENTS
SENTIA ASA,"Contract for construction of new Bodø airport worth NOK 1,9 billion"
SENTIA ASA,Milliardavtale for bygging av ny lufthavn Bodø
Danske Bank A/S,"Danske Bank A/S, transactions by persons discharging managerial responsibilities"
Íslandsbanki hf.,Íslandsbanki hf.: Shareholders meeting - meeting material
Fortum,Fortum completes the acquisition of Orange Energia
Genmab A/S,Completion of Share Buy-back Program
"15min",Transaction Completed: Two New Investors Join “15min Group”
Suominen Oyj,Inside information: CEO of Suominen Corporation changes 
FERM.CASINO MUNICIPAL CANNES,Avis Financier semestriel au 30 avril 2025
Latvenergo,"Latvenergo AS has signed short terms Loan Agreements totalling EUR 300 million with Swedbank AS, OP Corporate Bank plc Latvia Branch, and AB SEB Bank"
Arco Vara,Arco Vara launches construction of two new development projects
Loihde Oyj,Loihde Plc: Managers' Transactions  - Meronen
Loihde Oyj,Loihde Plc: Managers' Transactions  - Teutari
Loihde Oyj,Loihde Plc: Managers' Transactions  - Suhonen
Loihde Oyj,Loihde Plc: Managers' Transactions  - Järvinen
Loihde Oyj,Loihde Plc: Managers' Transactions  - Ahola
Trelleborg AB,"Buybacks of shares of series B in Trelleborg during week 26, 2025"
Suominen Oyj,Sisäpiiritieto: Suomisen toimitusjohtaja vaihtuu
Asmodee Group AB,asmodee to showcase upcoming titles and exclusives at Gen Con 2025!
Aktieselskabet Schouw & Co.,"Schouw & Co. share buy-back programme, week 26 2025 "
Windtree Therapeutics,Windtree Announces Istaroxime Phase 2 Cardiogenic Shock Study Hits Enrollment Target for Planned Interim Analysis
Danske Bank A/S,"Danske Bank A/S, transactions by persons discharging managerial responsibilities"
"",Kitron Strengthens Order Backlog with EUR 11 Million Contract for Defense Communication
Danske Bank A/S,"Danske Bank A/S, ledende medarbejderes transaktioner"
Genmab A/S,Completion of Share Buy-back Program
Schouw & Co. A/S,"Schouw & Co. share buy-back programme, week 26 2025"
Arco Vara,Arco Vara alustab kahe uue arendusprojekti ehitust
CLARANOVA,Claranova: PlanetArt Division Sale to GA Credit and Management Completed
Arco Vara,Arco Vara launches construction of two new development projects
"",Changes in the Management Board of Admirals Group AS
"",Muudatused Admirals Group AS juhatuses
Suominen Oyj,Inside information: CEO of Suominen Corporation changes
"",BUYBACK OF RIKSBANK CERTIFICATES
NEO Finance,NEO Finance Announces Appointment of New Head of Administration - Juozas Kaminskas
Robus Group,Robus Group AS auditeeritud majandusaasta aruanne hilineb
VOW,Vow ASA: Vow receives settlement for VGM shares and loan repayment
SCANA,Scana ASA: Adjustment of loan agreement
SCANA,Scana ASA: Justering av låneavtale
XXL,Frasers Group Plc Announces Compulsory Acquisition of Remaining Issued and Outstanding Shares in XXL ASA
"OK PROPERTIES I SOCIMI, S.A.",Minute of the Sole Shareholder - June 2025
INMOSUPA,DIVIDEND PAYMENT 2025
KMC PROPERTIES ASA,Shareholding disclosure - Nordnet AB (publ)
PET SERVICE HOLDING N.V.,All agenda items unanimously approved at General Meeting
HUDDLESTOCK FINTECH,Huddlestock - Sabine Merky appointed Chief Financial Officer
BOLIDEN AB,Inbjudan till presentation av Bolidens rapport Q2 2025
Cidron Romanov Limited,Cidron Romanov Limited: Issuing of PIK Notes
BOLIDEN AB,Invitation to presentation of Boliden's Q2 2025 report
ARCELORMITTAL SA,ArcelorMittal publishes its 2024 Payments to governments in respect of extractive activities report
Kongsberg Gruppen ASA,Germany buys KONGSBERG’s Joint Strike Missiles
Kongsberg Gruppen ASA,Tyskland kjøper Joint Strike Missile fra KONGSBERG
Cidron Romanov Limited,Cidron Romanov Limited: Issuing of PIK Notes
KITRON,Kitron styrker ordrebeholdningen med kontrakt på 11 millioner euro for produksjon av militære kommunikasjons produkter.
KITRON,Kitron Strengthens Order Backlog with EUR 11 Million Contract for Defense Communication
Senzime AB,BULLETIN from EXTRAORDINARY GENERAL MEETING in Senzime AB (publ)
OEM International AB,Share-related incentive scheme in OEM International AB (publ)
Neovici Holding AB,Neovici Holdings AGM Adjourned as Planned
Svedbergs Group AB,Change in the number of shares and votes in Svedbergs Group
Matas A/S,Grant of Performance Share Units
Administer Oyj,"Administer and Numera Palvelut sign an agreement on the acquisition of the financial, payroll and software business of Sarastia's municipal customers"
Nightingale Health Oyj,Nightingale Health's U.S. laboratory now open
KEYTO Group AB,KEYTO Group broadens its service offering in Sweden as Enspecta joins the group
NEO Finance,NEO Finance Announces Appointment of New Head of Administration - Juozas Kaminskas 
Irisity AB,Bulletin from Annual General Meeting in Irisity AB (publ)
Dynavox Group AB,Increase in number of votes in Dynavox Group
Logistea AB,Increased number of shares and votes in Logistea
Boliden AB,Invitation to presentation of Boliden's Q2 2025 report
Sveriges Riksbank,BUYBACK OF RIKSBANK CERTIFICATES
"",Vow ASA: Vow receives settlement for VGM shares and loan repayment
Eco Baltia,"CORRECTION: Eco Baltia Group continues steady growth in Q1 2025, reaching €70.1 million in revenue"
APF Holdings,"Resolutions of the Annual General Meeting of Shareholders of JSC ""APF Holdings"" held on 30 June 2025"
GOLDEN ENERGY OFFSHORE SERVICES ASA,Completion of Refinancing of Fleet
BARINGS CORE SPAIN SOCIMI S.A.,MINUTES OF THE SOLE SHAREHOLDER: APPROVAL OF THE ANNUAL ACCOUNTS 2024
LOTUS BAKERIES,Change of total number of voting rights
ARVERNE GROUP,Arverne Group’s Geothermal Solution for Nursing Homes
ARVERNE GROUP,La solution géothermale d’Arverne Group pour les EHPAD
AIR LIQUIDE(L-),Air Liquide va investir jusqu\'à 200 millions de dollars américains en Louisiane pour accompagner la croissance industrielle
AYVENS,Notification of MREL requirements
ASM INTERNATIONAL N.V.,"ASM share buyback update June 23 – 27, 2025"
EUROFINS SCIENTIFIC,Eurofins : Purchases of Own Shares From June 23rd to June 27th 2025
VINCI,Publication de la Toolbox VINCI Concessions
IMERYS,imerys-communiqué-30-juin-2025-rachat-d-actions-du-23-juin-au-27-juin-2025
KONINKLIJKE KPN N.V.,KPN reports progress of € 250m share buyback
RES GESTAE SOCIMI S.A.,DIVIDEND 2025
ODET(COMPAGNIE DE L-),Compagnie de l'Odet : Déclaration des transactions sur actions propres réalisées du 23 juin au 27 juin 2025
FNAC DARTY,"Fnac Darty: Disclosure of trading in own shares, 23 to 27 June 2025 (in French only)"
FNAC DARTY,Fnac Darty : Déclaration des transactions sur actions propres du 23 au 27 juin 2025
NEXANS,Nexans completes the sale of Lynxeo to Latour Capital
NEXANS,Nexans finalise la cession de Lynxeo à Latour Capital
CREDIT AGRICOLE,CREDIT AGRICOLE SA : REDUCTION DE MOYENS AU CONTRAT DE LIQUIDITE AVEC KEPLER CHEUVREUX
CREDIT AGRICOLE,Credit Agricole Sa: REDUCTION OF RESOURCES TO THE LIQUIDITY CONTRACT WITH KEPLER CHEUVREUX
VINCI,Publication of the Toolbox VINCI Concessions
AIR LIQUIDE(L-),"Air Liquide to invest up to 200M USD in Louisiana, U.S. to support industrial growth"
BILENDI,BILENDI: Bilendi célèbre 20 ans de cotation en bourse. D’un pionnier français à un Groupe de dimension mondiale
BILENDI,BILENDI: Bilendi celebrates 20 years of stock market listing. From a French pioneer to a global Group
AGEAS,Ageas rapporteert over de inkoop van eigen aandelen
AGEAS,Rapport d’Ageas sur le programme de rachat d’actions
-,Ageas reports on the progress of share buy-back programme
SHELL PLC,Director/PDMR Shareholding
International Petroleum Corpor,International Petroleum Corporation Updated Share Capital
PROSUS,Dealing by directors in securities
GROUPIMO,RÉSULTATS DU SCRUTIN DE L'ASSEMBLÉE GÉNÉRALE 2025
TECHSTEP,Grant of share options to primary insiders in Techstep ASA
Hawk Infinity Softw AS 23/28 FRN FLOOR C,Euronext Oslo Børs – Hawk Infinity Software AS - Mottatt søknad om notering av obligasjonslån
Hawk Infinity Softw AS 23/28 FRN FLOOR C,Euronext Oslo Børs – Hawk Infinity Software AS - Received application for listing of bonds
Synsam AB,Synsam - Refinancing of loan facilities
Pihlajalinna Oyj,Pihlajalinna Plc: Acquisition of own shares on 30 June 2025
Securitas AB,Securitas signs new revolving credit facility agreement and a new loan agreement
SynAct Pharma AB,Change in number of shares and votes in SynAct Pharma AB
Netum Group Oyj,Netum Group Plc: Repurchase of own shares
Citycon Oyj,CITYCON OYJ: Share repurchase 30.6.2025
Eco Baltia,"CORRECTION: Eco Baltia Group continues steady growth in Q1 2025, reaching €70.1 million in revenue"
Lánamál ríkisins,Quarterly Government Debt Management Prospect
Raute Oyj,Raute Corporation: SHARE REPURCHASE 30.6.2025
Mildef Group AB,Change of number of shares and votes in MilDef Group AB (publ)
Alma Media,Alma Media Corporation: Share repurchase 30.6.2025
Mineralys Therapeutics,Mineralys Therapeutics Announces Journal of the American Medical Association (JAMA) Publication of Pivotal Phase 3 Launch-HTN Trial for Lorundrostat
Zealand Pharma A/S,"Total number of shares and voting rights in Zealand Pharma as of June 30, 2025"
Siili Solutions Oyj,Siili Solutions Plc: Share Repurchase 30.6.2025
