company,title,tickers,companies
Norion Bank AB,Conference call in connection with Norion Bank's interim report January-June 2025,['NORION'],['Norion Bank']
ProAct IT Group AB,Invitation to the presentation of Proact's Q2 2025 interim report,['PROACT'],['Proact']
SaltX Technology Holding AB,"SaltX enters strategic partnership with Holcim to develop fully electrified cement technology, secures investment of SEK 48.9m and resolves on a set-off issue of SEK 21.5m","['HOLN', 'SALT']","['Holcim Ltd', 'SaltX Technology Holding AB']"
Ringkjøbing Landbobank A/S,Share buyback programme - week 26,[],[]
,Aktietilbagekøb i SJF Bank A/S – transaktioner i uge 26,['SJF'],['SJF Bank A/S']
,Investeringsforeningen BankInvest – prospektopdatering,[],[]
,Share buyback programme – week 26,[],[]
,Aktietilbagekøbsprogram - uge 26,[],[]
ISS A/S,Transactions in connection with share buyback programme,[],[]
Jyske Bank A/S,Share repurchase programme: Transactions of week 26 2025,[],[]
Jyske Bank A/S,Aktietilbagekøb: Transaktioner i uge 26 2025,[],[]
Columbus A/S,Columbus – launch of share buyback programme under the “Safe Harbour” Regulation,[],[]
Nordecon,Construction contract (Defence-related facilities),[],[]
Nordecon,Ehituslepingu sõlmimine (Riigikaitselised hooned),[],[]
Nokia Corporation,Nokia signs revolving credit facility with its pricing mechanism linked to the company's sustainability targets,['NOK'],['Nokia Corporation']
PST Group,On the Resolutions Adopted at the Extraordinary General Meeting of Shareholders,[],[]
SpareBank 1 Lom og SkjÃ¥k,SpareBank 1 Lom og Skjåk er tildelt BBB+ kredittvurdering fra Nordic Credit Rating,['NCR'],['Nordic Credit Rating']
Ãrland kommune,Årsberetning og årsregnskap Ørland kommune 2024,[],[]
GjÃ¸vik Kommune,Årsregnskap 2024,[],[]
PHILLY SHIPYARD,Financial calendar,[],[]
DANSKE BANK A/S,Danske Bank share buy-back programme: transactions in week 26,[],['Danske Bank']
VOW GREEN METALS AS,Received application for delisting - Correction*,[],[]
VOW GREEN METALS AS,Mottatt søknad om strykning - Korreksjon *,[],[]
TECHSTEP,Techstep ASA: Contract signed with the Municipality of Oslo,[],['Techstep ASA']
Mutares SE & CO KGaA,Mutares lists Terranor Group AB (publ) on Nasdaq First North Growth Market in Stockholm,['MUT'],['Mutares SE & Co. KGaA']
A.P. Møller - Mærsk A/S,Transactions in connection with share buy-back program,[],[]
STREAMWIDE,STREAMWIDE _ COMPTE RENDU AGOAE 19.06.2025,['STMW'],['STREAMWIDE']
Wall to Wall Group AB,Extraordinary General Meeting of Wall to Wall,[],[]
Digitalist Group Plc,Digitalist Group Oyj - Managers' Transactions,['DIGIGR'],['Digitalist Group Oyj']
Karolinska Development AB,Karolinska Development divests shares in portfolio company OssDsign,[],"['Karolinska Development', 'OssDsign']"
Eltel AB,Eltel signs frame agreement for connection and metering services with E.ON,['ELTEL'],"['Eltel AB', 'E.ON SE']"
Eezy Oyj,Eezy Plc: changes in management team,['EEZY'],['Eezy Plc']
Koskisen Oyj,Koskisen Corporation - Managers' transactions,[],['Koskisen Corporation']
Swedish Logistic Property AB,SLP takes ownership of two newly built and fully leased logistics properties in Jönköping with an agreed property value of SEK 266 million,['SLP'],['SLP']
Sydbank A/S,Sydbank A/S share buyback programme: transactions in week 26,['SYDBANK'],['Sydbank A/S']
Investeringsforeningen Nykredit Invest Balance,Investeringsforeningen Nykredit Invest Balance suspenderer handel med udvalgte afdelinger,['NYKREDIT'],['Investeringsforeningen Nykredit Invest Balance']
Djurslands Bank A/S,Aktietilbagekøb i Djurslands Bank - transaktioner i uge 26,[],['Djurslands Bank']
Sydbank A/S,Sydbank A/S share buyback programme: transactions in week 26,['SYDBANK'],['Sydbank A/S']
Sydbank A/S,Aktietilbagekøb i Sydbank A/S – transaktioner i uge 26,['SYDBANK'],['Sydbank A/S']
Karolinska Development AB ser.B,Karolinska Development divests shares in portfolio company OssDsign,[],"['Karolinska Development', 'OssDsign']"
Sparindex INDEX Høj Risiko KL,Værdipapirfonden Sparinvest suspenderer midlertidig handel med udvalgte afdelinger,['SPARINVEST'],['Værdipapirfonden Sparinvest']
Sparinv Danske Aktier KL A,Investeringsforeningen Sparinvest suspenderer handel af udvalgte afdelinger,['SPARINVEST'],['Investeringsforeningen Sparinvest']
"""Nykredit Invest Balance Modera",Investeringsforeningen Nykredit Invest Balance suspenderer handel med udvalgte afdelinger,['NYKREDIT'],['Investeringsforeningen Nykredit Invest Balance']
,Ekstraordinære indfrielser (CK 93),[],[]
,Investeringsforeningen Nykredit Invest suspender handel med udvalgte afdelinger,[],['Investeringsforeningen Nykredit Invest']
,Investeringsforeningen Multi Manager Invest suspenderer handel med alle afdelinger,[],[]
,Finanskalender 2025 – BI Erhvervsejendomme A/S,['BI'],['BI Erhvervsejendomme A/S']
,Ombytningsforhold i forbindelse med fusion af afdeling Kreditobligationer under Investeringsforeningen Kerne Invest og afdeling Virksomhedsobligationer IG KL under Investeringsforeningen BankInvest,['BANKINVEST'],"['Investeringsforeningen Kerne Invest', 'Investeringsforeningen BankInvest']"
Alm. Brand A/S,Alm. Brand A/S – Weekly report on share buybacks,['ALMB'],['Alm. Brand A/S']
Alm. Brand A/S,Alm. Brand A/S - Ugentlig rapportering om aktietilbagekøb,['ALMB'],['Alm. Brand A/S']
Danske Bank A/S,Danske Bank share buy-back programme: transactions in week 26,[],['Danske Bank']
Danske Bank A/S,Aktietilbagekøb i Danske Bank: Transaktioner i uge 26,[],['Danske Bank']
,Ombytningsforhold i forbindelse med fusion af afdeling Bæredygtige Klimaaktier KL under Investeringsforeningen BankInvest og afdeling Optima Bæredygtig Omtanke 75 KL under Værdipapirfonden BankInvest,['BANKINVEST'],['BankInvest']
,Ombytningsforhold i forbindelse med fusion af afdeling Bæredygtige Klimaaktier KL under Investeringsforeningen BankInvest og afdeling Optima Bæredygtig Omtanke 75 KL under Værdipapirfonden BankInvest,['BANKINVEST'],"['Investeringsforeningen BankInvest', 'Værdipapirfonden BankInvest']"
Digitalist Group Plc,Digitalist Group Oyj - Managers' Transactions,[],['Digitalist Group Oyj']
Digitalist Group Plc,Digitalist Group Oyj - Johdon liiketoimet,[],['Digitalist Group Oyj']
Karolinska Development AB ser.B,Karolinska Development avyttrar aktier i portföljbolaget OssDsign,['KDEV'],['Karolinska Development']
,Composition of Huhtamaki’s Shareholders’ Nomination Board,[],['Huhtamäki Oyj']
,Huhtamäen osakkeenomistajien nimitystoimikunnan kokoonpano,[],[]
PST Group,On the Resolutions Adopted at the Extraordinary General Meeting of Shareholders,[],[]
PST Group,Dėl neeilinio visuotinio akcininkų susirinkimo priimtų sprendimų,[],[]
Nasdaq Vilnius,The results of the primary placement auction of Lithuanian Government Eurobonds,[],[]
Eco Baltia,Oil Recovery wins public tender for 3-year ship-generated waste management contract at the Freeport of Riga,['OR'],['Oil Recovery']
Eco Baltia,"Eco Baltia Group continues steady growth in Q1 2025, reaching €70.1 million in revenue",['ECO'],['Eco Baltia Group']
Eco Baltia,Eco Baltia Group achieves record-high turnover and significant profitability improvement in 2024,['ECO'],['Eco Baltia Group']
Sandefjord komm 24/26 FRN,Sandefjord municipality annual report and accounts 2024,[],[]
Sandefjord komm 24/26 FRN,Sandefjord kommune årsregnskap og årsberetning 2024,[],[]
Sandefjord komm 24/26 FRN,Sandefjord municipality annual report an accounts 2024,[],[]
Sandefjord komm 24/26 FRN,Sandefjord kommune årsregnskap og årsberetning,[],[]
HAVAS,Havas Reports the Progress of Transactions Under Its Current Share Buyback Program,['HAVSF'],['Havas']
JENSEN-GROUP,Share buyback – weekly update,[],[]
FLEURY MICHON,FLEURY MICHON : Déclaration des opérations de rachat d'actions du 23 au 27 juin 2025,['FLEURY'],['Fleury Michon']
POLIGHT,Major Shareholder Disclosure,[],[]
POLIGHT,Flaggemelding,[],[]
ASTICKSO XXI SOCIMI,MINUTES OF THE SOLE SHAREHOLDER OF THE COMPANY: APPROVAL OF THE ANNUAL ACCOUNTS 2024.,[],[]
Ponsse Oyj,Ponsse Plc: Managers' transactions - Tommi Väänänen,[],['Ponsse Plc']
Ponsse Oyj,Ponsse Plc: Managers' transactions - Juho Nummela,[],['Ponsse Plc']
Ponsse Oyj,Ponsse Plc: Managers' transactions - Miika Soininen,[],['Ponsse Plc']
Ponsse Oyj,Ponsse Plc: Managers' transactions - Juha Inberg,[],['Ponsse Plc']
Tecnotree Oyj,Change in Tecnotree Corporation's holding of treasury shares,[],['Tecnotree Corporation']
Ponsse Oyj,Ponsse Plc: Managers' transactions - Marko Mattila,[],['Ponsse Plc']
Ponsse Oyj,Ponsse Plc: Managers' transactions - Tiina Kautonen,[],['Ponsse Plc']
Ponsse Oyj,Ponsse Plc: Managers' transactions - Katja Paananen,[],['Ponsse Plc']
Loihde Oyj,Loihde Plc conducts a directed share issue to deliver the savings shares that are part of its Employee Share Savings Plan (ESSP),['LOIHDE'],['Loihde Plc']
Talenom Oyj,Talenom Plc will publish its Half-year Financial Report 2025 on Friday 18 July 2025,[],['Talenom Plc']
Dataproces Group A/S,Municipality on Zealand have bought Dataproces' Data-analysis,['DATAPROCES'],['Dataproces']
,"Fejlberegning iht. §75, stk. 1 i lov om investeringsforeninger m.v.",[],[]
Sparindex INDEX Høj Risiko KL,Værdipapirfonden Sparinvest - ophævelse suspension,['SPARINVEST'],['Værdipapirfonden Sparinvest']
Sparinv Danske Aktier KL A,Investeringsforeningen Sparinvest - ophævelse suspension,['SPARINVEST'],['Investeringsforeningen Sparinvest']
"""Nordea Invest Aktier KL 1""",Ombytningsforhold ved fusion,[],[]
"""Nykredit Invest Balance Modera",Investeringsforeningen Nykredit Invest Balance - ophævelse af suspension,['NYKREDIT'],['Investeringsforeningen Nykredit Invest Balance']
Mycronic AB,Invitation to the presentation of Mycronic's Q2 2025,['MYCR'],['Mycronic']
,Investeringsforeningen Multi Manager Invest - ophævelse af suspension,[],[]
"""Nordea Invest Aktier KL 1""",Ophævelse af suspension,[],[]
FLSmidth & Co. A/S,FLSmidth sells its Air Pollution Control business to Rubicon Partners,['FLIDY'],['FLSmidth & Co. A/S']
,Investeringsforeningen Nykredit Invest - ophævelse af suspension,['NYKREDIT'],['Investeringsforeningen Nykredit Invest']
Eyenovia,Eyenovia Adds $10 Million in HYPE to its Treasury Holdings in Preparation for Strategic Onchain Engagement,['EYEN'],['Eyenovia Inc']
,Nova Klúbburinn hf.: Framkvæmd endurkaupaáætlunar í viku 26,['NOVA'],['Nova Klúbburinn hf.']
Síminn hf.,Síminn hf. - Reglubundin tilkynning um kaup á eigin bréfum í samræmi við endurkaupaáætlun,['SÍMINN'],['Síminn hf.']
Hagar hf.,Hagar hf.: Niðurstöður í endurkaupum á eigin bréfum með öfugu tilboðsfyrirkomulagi,['HAGAR'],['Hagar hf.']
J.Molner,Additional increase of The J. Molner Company OÜ voluntary reserve,[],['The J. Molner Company OÜ']
Pandora A/S,Transactions in connection with share buyback programme,[],[]
Eco Baltia,CORRECTION: Eco Baltia Group achieves record-high turnover and significant profitability improvement in 2024,['ECOBALTIA'],['Eco Baltia Group']
SIGNIFY NV,Signify share repurchase period update,['SIGNIFY'],['Signify NV']
INMOSUPA,MINUTES OF THE ORDINARY AND UNIVERSAL GENERAL MEETING OF THE COMPANY: APPROVAL ANNUAL ACCOUNTS 2024,[],[]
CRCAM BRIE PIC2CCI,CRCAM Brie Picardie – déclaration hebdomadaire – Rachats réalisés dans les conditions de l'article 5 du Règlement MAR,['CRCAM'],['CRCAM Brie Picardie']
PHONE WEB,PHONE WEB - RESULTATS ANNUELS 2024,[],[]
POLIGHT,poLight ASA: Mandatory notification of trade,['PLT'],['poLight ASA']
ORBIS PROPERTIES,Sole Shareholder Resolutions - June 2025,[],[]
AGP MALAGA SOCIMI,Dividend Distribution,[],[]
HEINEKEN HOLDING,Heineken Holding N.V. reports transactions under its current share buyback programme,['HEIA'],['Heineken Holding N.V.']
Public Property Invest ASA,Public Property Invest ASA: Transactions carried out under the share buy-back program,[],['Public Property Invest ASA']
CA TOULOUSE 31 CCI,Déclaration hebdomadaire des transactions sur CCI 2025 06 23 - 2025 06 27,[],[]
HEINEKEN,Heineken N.V. reports the progress of transactions under its current share buyback programme,['HEINY'],['Heineken N.V.']
KINGDOM OF NORWAY,Reopening of government bond NGB 09/2029 and NGB 06/2035,['NGB'],['Government Bond']
Dustin Group AB,Change in number of shares and votes in Dustin,['DSTI'],['Dustin Group AB']
Royal UNIBREW A/S,Share buy-back program,[],[]
NCC AB,NCC to construct sand recycling plant for Boliden in Skellefteå,"['NCC', 'BOLIDEN']","['NCC', 'Boliden']"
"Volvo, AB",New number of votes in AB Volvo,[],['AB Volvo']
"GENESIS R.E.I.T., SOCIMI S.A.",MINUTES OF THE ORDIARY AND UNIVERSAL GENERAL MEETING OF THE COMPANY: APPROVAL OF ANNUAL ACCOUNTS 2024,[],[]
Besqab AB(publ),"Besqab Commences Construction of the First 122 Tenant Ownerships Apartments in Slakthusområdet, Stockholm",[],['Besqab']
Indutrade AB,Invitation to webcast in conjunction with Indutrade's Interim Report January - June 2025,[],['Indutrade AB']
Faron Pharmaceuticals Oy,Faron Pharmaceuticals Ltd: Director/PCA Dealing,['FARN'],['Faron Pharmaceuticals Ltd']
DonkeyRepublic Holding A/S,Morten Nybye-Petersen resigns as Chief Operating Officer of Donkey Republic,['DONKEY'],['Donkey Republic']
Matas A/S,Matas share buy-back programme: reporting of transactions in week 26,['MATAS'],['Matas A/S']
SRV Yhtiöt Oyj,"SRV Group Plc: Flagging notification in accordance with Chapter 9, Section 10 of the Securities Markets Act",['SRV'],['SRV Group Plc']
Cavotec SA,Cavotec Group AB successfully completes the share exchange offer to the shareholders of Cavotec SA and extends the acceptance period - to be listed on Nasdaq Stockholm on 9 July 2025,['NDAQ'],['Nasdaq Stockholm']
J.Molner,Additional increase of The J. Molner Company OÜ voluntary reserve,[],['The J. Molner Company OÜ']
Lokotech Group AS,Mandatory Notification of Trade by Primary Insider,[],[]
,Transactions in connection with share buyback programme,[],[]
Royal UNIBREW A/S,Share buy-back program,[],[]
Modera,Resolutions of the shareholders of Aktsiaselts Modera - adoption of resolutions of the general meeting without calling a meeting,['MODERA'],['Aktsiaselts Modera']
Sun Finance Treasury Limited,Sun Finance Group reports audited results for 2024,['SFG'],['Sun Finance Group']
Olav Thon Eiendomsselskap ASA,Vellykket utstedelse av obligasjonslån,[],[]
Olav Thon Eiendomsselskap ASA,Successful bond issuance,[],[]
AREF THALASSA SOCIMI S.A.U.,Minutes of the Sole Shareholder - June 2025,[],[]
JDE PEET'S,"JDE Peet’s share buyback periodic update June 30, 2025",['JDE'],['JDE Peet’s']
PEXIP HOLDING,Status share buyback program,[],[]
GOLDEN OCEAN GROUP,NOTIFICATION OF MAJOR HOLDINGS,[],[]
Sparebanken Norge,Ny rente,[],[]
Longship Group B.V 24/27 FRN EUR FLOOR C,Ny rente,[],[]
-,First Phosphate annonce son intention de procéder à un placement privé de 2 000 000 $ auprès d'un investisseur stratégique,[],[]
SpareBank 1 SMN,Rentefastsettelse,[],[]
Odal Sparebank,Rentefastsettelse,[],[]
TromsÃ¸ Kommune,Rentefastsettelse,[],[]
LillestrÃ¸m kommune,Interest Adjustment,[],[]
Eidsiva Energi AS,Rentefastsettelse,[],[]
Nortura SA,Rentefastsettelse,[],[]
ACCSYS TECHNOLOGIES PLC,Accsys Technologies PLC: Director/PDMR Shareholding,['AXS'],['Accsys Technologies PLC']
GRUPO WHITENI SOCIMI,Minutes of the universal annual shareholders meeting (ordinary and extraordinary),[],[]
AZERION GROUP N.V.,Azerion in Discussions Regarding Potential Sale of Whow Games,['AZRI'],['Azerion']
"Hennes & Mauritz AB, H & M","Buybacks of shares by H&M during week 26, 2025",[],['Hennes & Mauritz AB']
Autoliv Inc.,Autoliv Announces Departure of Chief Financial Officer,['ALV'],['Autoliv Inc']
ES Energy Save Holding AB,Energy Save signs agreement with distributor for Spain and Portugal,['ENSV'],['Energy Save Inc']
Modera,Resolutions of the shareholders of Aktsiaselts Modera - adoption of resolutions of the general meeting without calling a meeting,['MODERA'],['Aktsiaselts Modera']
Bergman & Beving AB,Bergman & Beving's Annual Report for 2024/2025 has been published,[],['Bergman & Beving AB']
Sun Finance Treasury Limited,Sun Finance Group reports audited results for 2024,['SFG'],['Sun Finance Group']
Ringkjøbing Landbobank A/S,Ringkjøbing Landbobank issues Tier 2 capital,[],['Ringkjøbing Landbobank']
Scibase Holding AB,SciBase announces outcome in directed share issue,['SCIB'],['SciBase AB']
AQ Group AB,"Invitation to presentation of AQ Group's Q2 interim report on July 15, 2025",['AQ'],['AQ Group']
Imunon,"IMUNON Submits Plan in Consultation with the Exchange to Ensure Compliance with Nasdaq’s Listing Requirement, Anticipates Additional Compliance Period",['IMUN'],['IMUNON']
Medi-Adapt Innovations,Spectral AI Announces Submission to FDA of its DeepView® System,['AI'],['Spectral AI']
Cidara Therapeutics,Cidara Therapeutics Announces Inclusion in the Russell 2000® and Russell 3000® Indexes,['CDTX'],['Cidara Therapeutics']
INmune Bio,INmune Bio Reports Key Findings from Phase 2 MINDFuL Trial of XPro™ in Early Alzheimer’s Disease,['INMB'],['INmune Bio Inc']
CRISPR Therapeutics,CRISPR Therapeutics Named to TIME’s Most Influential Companies List of 2025,['CRSP'],['CRISPR Therapeutics']
Corbus Pharmaceuticals,Corbus Pharmaceuticals Initiates Multiple Ascending Dose Portion of Phase 1 Study of Highly Peripherally Restricted CB1 Inverse Agonist CRB-913 for the Treatment of Obesity,['CRBP'],['Corbus Pharmaceuticals']
,Allarity Therapeutics Receives Australian Patent Acceptance Notice for Stenoparib DRP® Companion Diagnostic,['ALLR'],['Allarity Therapeutics']
,Ringkjøbing Landbobank issues Tier 2 capital,[],['Ringkjøbing Landbobank']
,Ringkjøbing Landbobank udsteder Tier 2-kapital,[],['Ringkjøbing Landbobank']
Brim hf.,Niðurstöður hluthafafundar Brim hf. 30. júní 2025,['BRIM'],['Brim hf.']
Nasdaq Riga,Observation status removed for Amber Beverage Group Holding S.à r.l.,[],['Amber Beverage Group Holding S.à r.l.']
15min,Transaction Completed: Two New Investors Join “15min Group”,[],[]
Latvenergo,"Latvenergo AS has signed short terms Loan Agreements totalling EUR 300 million with Swedbank AS, OP Corporate Bank plc Latvia Branch, and AB SEB Bank",['OP'],"['Swedbank AB', 'OP Corporate Bank plc', 'SEB AB']"
15min,Užbaigtas sandoris: „15min grupėje“ - du nauji investuotojai,[],[]
Arco Vara,Arco Vara launches construction of two new development projects,['ARCO'],['Arco Vara']
Admirals Group,Changes in the Management Board of Admirals Group AS,['AS'],['Admirals Group']
Hafslund AS,Euronext Oslo Børs – Hafslund AS - Mottatt søknad om notering av obligasjonslån,['HAFSLUND'],['Hafslund AS']
RES GESTAE SOCIMI S.A.,MINUTES OF THE ORDINARY UNIVERSAL GENERAL MEETING,[],[]
Hafslund AS,Euronext Oslo Børs – Hafslund AS - Received application for listing of bonds,['HAFSLUND'],['Hafslund AS']
Klaveness Combination Carriers,Financial calendar,[],[]
Olav Thon Eiendomsselskap ASA,Vellykket utstedelse av obligasjonslån,[],[]
Olav Thon Eiendomsselskap ASA,Successful bond issuance,[],[]
Alligator Bioscience AB,Change in number of shares and votes in Alligator Bioscience AB,['AB'],['Alligator Bioscience']
Brage Finans AS,Jæren Sparebank inngår samarbeid og blir deleier av Brage Finans AS,[],"['Jæren Sparebank', 'Brage Finans AS']"
JÃ¦ren Sparebank,Jæren Sparebank inngår samarbeid og blir deleier av Brage Finans AS,[],"['Jæren Sparebank', 'Brage Finans AS']"
SEGRO PUBLIC LIMITED COMPANY,Total Voting Rights,[],[]
AF GRUPPEN,Building production facility in Ølen,[],[]
AF GRUPPEN,Bygger produksjonsanlegg i Ølen,[],[]
MULTICONSULT,Multiconsult ASA - successful refinancing of credit facilities,['MULTI'],['Multiconsult ASA']
TrÃ¸ndelag Fylkeskommune,Årsrapport 2024 Trøndelag fylkeskommune,[],[]
TrÃ¸ndelag Fylkeskommune,Annual report 2024 Trøndelag fylkeskommune,[],[]
SHELF DRILLING,Shelf Drilling Announces Five-Year Contract Extension for High Island V,['SHEL'],['Shelf Drilling']
TrÃ¸ndelag Fylkeskommune,Annual report 2024 Trøndelag fylkeskommune,[],[]
TrÃ¸ndelag Fylkeskommune,Årsrapport 2024 Trøndelag fylkeskommune,[],[]
VEIDEKKE,Veidekke: Bygger 142 boliger for Ferd i Asker,['VEI'],['Veidekke ASA']
VEIDEKKE,Veidekke: Building homes for Ferd in Asker,['VEI'],['Veidekke ASA']
JINHUI SHIPPING AND TRANSPORTATION,THE SALE AND LEASEBACK ARRANGEMENTS,[],[]
SENTIA ASA,"Contract for construction of new Bodø airport worth NOK 1,9 billion",[],[]
SENTIA ASA,Milliardavtale for bygging av ny lufthavn Bodø,[],[]
Danske Bank A/S,"Danske Bank A/S, transactions by persons discharging managerial responsibilities",[],['Danske Bank A/S']
Íslandsbanki hf.,Íslandsbanki hf.: Shareholders meeting - meeting material,['ISB'],['Íslandsbanki hf.']
Fortum,Fortum completes the acquisition of Orange Energia,['FORTUM'],['Fortum Corporation']
Genmab A/S,Completion of Share Buy-back Program,[],[]
15min,Transaction Completed: Two New Investors Join “15min Group”,[],[]
Suominen Oyj,Inside information: CEO of Suominen Corporation changes ,[],['Suominen Corporation']
FERM.CASINO MUNICIPAL CANNES,Avis Financier semestriel au 30 avril 2025,[],[]
Latvenergo,"Latvenergo AS has signed short terms Loan Agreements totalling EUR 300 million with Swedbank AS, OP Corporate Bank plc Latvia Branch, and AB SEB Bank",['OP'],"['Swedbank AB', 'OP Corporate Bank plc', 'SEB AB']"
Arco Vara,Arco Vara launches construction of two new development projects,['ARCO'],['Arco Vara']
Loihde Oyj,Loihde Plc: Managers' Transactions  - Meronen,['LOIHDE'],['Loihde Plc']
Loihde Oyj,Loihde Plc: Managers' Transactions  - Teutari,['LOIHDE'],['Loihde Plc']
Loihde Oyj,Loihde Plc: Managers' Transactions  - Suhonen,['LOIHDE'],['Loihde Plc']
Loihde Oyj,Loihde Plc: Managers' Transactions  - Järvinen,['LOIHDE'],['Loihde Plc']
Loihde Oyj,Loihde Plc: Managers' Transactions  - Ahola,['LOIHDE'],['Loihde Plc']
Trelleborg AB,"Buybacks of shares of series B in Trelleborg during week 26, 2025",['TREL'],['Trelleborg AB']
Suominen Oyj,Sisäpiiritieto: Suomisen toimitusjohtaja vaihtuu,[],[]
Asmodee Group AB,asmodee to showcase upcoming titles and exclusives at Gen Con 2025!,[],[]
Aktieselskabet Schouw & Co.,"Schouw & Co. share buy-back programme, week 26 2025 ",[],['Schouw & Co.']
Windtree Therapeutics,Windtree Announces Istaroxime Phase 2 Cardiogenic Shock Study Hits Enrollment Target for Planned Interim Analysis,['WINT'],['Windtree Therapeutics']
Danske Bank A/S,"Danske Bank A/S, transactions by persons discharging managerial responsibilities",[],['Danske Bank A/S']
,Kitron Strengthens Order Backlog with EUR 11 Million Contract for Defense Communication,['KIT'],['Kitron']
Danske Bank A/S,"Danske Bank A/S, ledende medarbejderes transaktioner",[],['Danske Bank A/S']
Genmab A/S,Completion of Share Buy-back Program,[],[]
Schouw & Co. A/S,"Schouw & Co. share buy-back programme, week 26 2025",[],['Schouw & Co.']
